15um_t1.png,15um_t10.png,15um_t99.6.png,laser15um_t1.png,laser15um_t10.png,laser15um_t99.6.png
0.010648627,0.009241961,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028857648
0.010648627,0.011199215,0.028857648,0.010648627,0.013171373,0.028292159
0.010648627,0.011199215,0.028857648,0.010648627,0.011199215,0.028292159
0.010648627,0.011199215,0.028857648,0.010648627,0.008676471,0.025486667
0.010648627,0.011199215,0.028857648,0.010648627,0.008676471,0.025486667
0.010648627,0.011764706,0.028857648,0.010648627,0.011199215,0.028292159
0.010648627,0.011764706,0.034185883,0.010648627,0.011199215,0.028292159
0.010648627,0.011764706,0.034185883,0.010648627,0.011199215,0.028292159
0.010648627,0.011764706,0.034185883,0.010648627,0.011199215,0.028292159
0.010648627,0.011764706,0.028857648,0.010648627,0.011199215,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028292159
0.010648627,0.009241961,0.034185883,0.010648627,0.013171373,0.028292159
0.010648627,0.009241961,0.028857648,0.010648627,0.013171373,0.028292159
0.010648627,0.011764706,0.028857648,0.010648627,0.011199215,0.028292159
0.010648627,0.011764706,0.028857648,0.010648627,0.011199215,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028857648
0.010648627,0.011764706,0.028292159,0.010648627,0.013171373,0.028292159
0.010648627,0.011764706,0.028292159,0.010648627,0.013171373,0.028292159
0.010648627,0.011764706,0.028292159,0.010648627,0.013171373,0.028292159
0.010648627,0.011764706,0.028292159,0.010648627,0.013171373,0.028292159
0.010648627,0.011764706,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028292159
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028292159
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028292159
0.010648627,0.013736864,0.034185883,0.010648627,0.013171373,0.028292159
0.010648627,0.013736864,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.013736864,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.013736864,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.008676471,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.011199215,0.028857648
0.010648627,0.011764706,0.034185883,0.010648627,0.013171373,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028857648
0.010648627,0.011199215,0.028857648,0.010648627,0.013171373,0.028857648
0.010648627,0.011199215,0.02969098,0.010648627,0.011199215,0.028857648
0.010648627,0.011199215,0.02969098,0.010648627,0.011199215,0.034185883
0.010648627,0.011199215,0.028857648,0.010648627,0.011199215,0.034185883
0.010648627,0.011764706,0.028857648,0.010648627,0.011199215,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.011199215,0.028857648
0.010648627,0.009241961,0.028857648,0.010648627,0.011199215,0.028857648
0.010648627,0.009241961,0.028857648,0.010648627,0.011199215,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.008676471,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.034185883,0.010648627,0.013171373,0.028857648
0.010648627,0.011764706,0.034185883,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028857648
0.010648627,0.011764706,0.034185883,0.010648627,0.013171373,0.028292159
0.010648627,0.009241961,0.028857648,0.010648627,0.013171373,0.028292159
0.010648627,0.009241961,0.028857648,0.010648627,0.013171373,0.028292159
0.010648627,0.013736864,0.034185883,0.010648627,0.013171373,0.028292159
0.010648627,0.013736864,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.013736864,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.013736864,0.034185883,0.010648627,0.013171373,0.034185883
0.010648627,0.011764706,0.034185883,0.010648627,0.013171373,0.028857648
0.010648627,0.011764706,0.034185883,0.010648627,0.013171373,0.028857648
0.010648627,0.011764706,0.034185883,0.010648627,0.013171373,0.034185883
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.034185883
0.010648627,0.013736864,0.028857648,0.010648627,0.013171373,0.034185883
0.010648627,0.013736864,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.013736864,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.013736864,0.028857648,0.010648627,0.010648627,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.008676471,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.008676471,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.013171373,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.010648627,0.034185883
0.010648627,0.011764706,0.028857648,0.010648627,0.010648627,0.034185883
0.010648627,0.011199215,0.034185883,0.010648627,0.010648627,0.028857648
0.010648627,0.011199215,0.034185883,0.010648627,0.008676471,0.028857648
0.010648627,0.011199215,0.034185883,0.010648627,0.011199215,0.028857648
0.010648627,0.011199215,0.034185883,0.010648627,0.011199215,0.028857648
0.010648627,0.011764706,0.028857648,0.010648627,0.011199215,0.034185883
